,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_rf__class_weight,param_rf__criterion,param_rf__max_features,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.386106300354004,0.05920241195628744,0.023073387145996094,0.00032592241484028157,5,balanced,entropy,sqrt,100,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",-0.5808620482844158,-0.5814709692342204,-0.5242862341813027,-0.6206641420504817,-0.5520208716638473,-0.5718608530828536,0.032286548554751146,20
1,6.72188515663147,0.17578870206754518,0.1012732982635498,0.0008916752860561981,5,balanced,entropy,sqrt,500,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 500}",-0.5634718805465722,-0.579851242080427,-0.518884172289285,-0.6113477243105466,-0.5393046848112967,-0.5625719408076255,0.03202638762035024,19
2,19.846118354797362,0.6060697345919335,0.31429343223571776,0.015490474571506319,5,balanced,entropy,sqrt,1500,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 1500}",-0.5619405706929282,-0.5780767533203695,-0.5183071824039962,-0.6112042398876955,-0.5360467948073172,-0.5611151082224614,0.03242911887194534,16
3,39.56820960044861,0.980611757999064,0.5968159198760986,0.006780551032113503,5,balanced,entropy,sqrt,3000,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 3000}",-0.5649298606791349,-0.5787740273908626,-0.5176277575603875,-0.6100329972225268,-0.5374500125204702,-0.5617629310746763,0.032151011420096465,18
4,65.75080308914184,1.688112517892614,0.995006513595581,0.02150058423973105,5,balanced,entropy,sqrt,5000,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 5000}",-0.5640524703799358,-0.5776109842134476,-0.5180904571818871,-0.6109184539165774,-0.5377387619732602,-0.5616822255330216,0.032115670051823086,17
5,1.7673433303833008,0.04300048976938426,0.04296832084655762,0.017772310612445805,10,balanced,entropy,sqrt,100,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",-0.5433530473304005,-0.5548483511140737,-0.511528582047693,-0.6148815499661803,-0.51640575499926,-0.5482034570915214,0.03706693804093344,15
6,8.500240039825439,0.10112384631241507,0.13423600196838378,0.005314593725838126,10,balanced,entropy,sqrt,500,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 500}",-0.5455420694138631,-0.5461456110134641,-0.5065639884911021,-0.5971250500747204,-0.5113831559930223,-0.5413519749972344,0.03243302594188003,13
7,25.14178600311279,0.3487460608167643,0.3226567268371582,0.008131352375223933,10,balanced,entropy,sqrt,1500,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 1500}",-0.5425048640346121,-0.5452850223663913,-0.5072393265978263,-0.5969422406186798,-0.5115440141225858,-0.540703093548019,0.03211590796864986,11
8,50.42820148468017,0.7406372862639362,0.5990091323852539,0.008315292066382911,10,balanced,entropy,sqrt,3000,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 3000}",-0.5439855003673981,-0.5466386641265398,-0.5063557500854933,-0.5968151973349057,-0.5110545291368203,-0.5409699282102315,0.03241294418871503,12
9,83.77118978500366,1.352016530523072,1.0124892711639404,0.03037058946720562,10,balanced,entropy,sqrt,5000,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 5000}",-0.5417820647356903,-0.5465754145122544,-0.5063103726832241,-0.5968756549434022,-0.5113277903522674,-0.5405742594453676,0.032362600888200956,10
10,1.818120527267456,0.045479004804227056,0.036513757705688474,0.00293019798870954,15,balanced,entropy,sqrt,100,"{'pca__n_components': 15, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",-0.5362037283228048,-0.5556302810270907,-0.5033563355656439,-0.5910947684123143,-0.5208018989520324,-0.5414174024559772,0.030234658262185004,14
11,8.523868656158447,0.11649096916683727,0.13851771354675294,0.00377932022063393,15,balanced,entropy,sqrt,500,"{'pca__n_components': 15, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 500}",-0.5307771702479253,-0.5465781737204137,-0.49853509637598703,-0.5949322770446287,-0.5132114942621938,-0.5368068423302297,0.033262197799101105,8
12,25.394806146621704,0.33055629690675203,0.3429751396179199,0.009037964580755032,15,balanced,entropy,sqrt,1500,"{'pca__n_components': 15, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 1500}",-0.5307394533268455,-0.5473630113404451,-0.4985644193499419,-0.5907521235706735,-0.5147392436805963,-0.5364316502537004,0.03164521215506161,6
