,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_rf__class_weight,param_rf__criterion,param_rf__max_features,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.516511058807373,0.017161631660067428,0.03843278884887695,0.000437704341720278,5,balanced,entropy,sqrt,100,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",-0.5296691368534042,-0.5564734140303247,-0.5501031142218583,-0.5408793972464961,-0.5884187415519696,-0.5531087607808105,0.01982989080705735,20
1,12.42054100036621,0.1550207354222739,0.17509174346923828,0.002751620207537235,5,balanced,entropy,sqrt,500,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 500}",-0.5267976243332331,-0.5536599861688503,-0.5487903160824882,-0.5364457155780679,-0.5858476499402105,-0.55030825842057,0.020107245394014008,19
2,37.302620029449464,0.41044405185392324,0.5227914810180664,0.006500490385694775,5,balanced,entropy,sqrt,1500,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 1500}",-0.5255637593267208,-0.5530966166841991,-0.547832670628906,-0.5377206631502048,-0.58532265502877,-0.5499072729637601,0.020049166017418626,18
3,74.1041006565094,0.8425669834614286,1.0258592128753663,0.009863990032705853,5,balanced,entropy,sqrt,3000,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 3000}",-0.5254925529948297,-0.5523068452836367,-0.5470864735269635,-0.5367113762610112,-0.5838053287593775,-0.5490805153651637,0.019644773573754767,16
4,123.2708034992218,1.3683136277537082,1.700486707687378,0.018746508972980164,5,balanced,entropy,sqrt,5000,"{'pca__n_components': 5, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 5000}",-0.526397109178082,-0.5520402100602241,-0.5483529641658841,-0.5368453640516454,-0.5837956200907898,-0.549486253509325,0.019379578665447886,17
5,3.315345048904419,0.0497163428327231,0.036583662033081055,0.00039079436503937527,10,balanced,entropy,sqrt,100,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",-0.5107089978170072,-0.5353797930712456,-0.5291331225174869,-0.5370280241014012,-0.5687722417228096,-0.5362044358459901,0.01877253922851229,15
6,16.273159980773926,0.23362055686727262,0.16420717239379884,0.0009420411165327263,10,balanced,entropy,sqrt,500,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 500}",-0.5099724245158926,-0.5309833899515783,-0.5240842694754367,-0.5134276303168854,-0.564275338981454,-0.5285486106482494,0.019369957909934923,11
7,48.80436134338379,0.7167056918615498,0.4860507965087891,0.005160994740046092,10,balanced,entropy,sqrt,1500,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 1500}",-0.5114004583071288,-0.5287322688221328,-0.5250271918227283,-0.5132210834688059,-0.5633095560908463,-0.5283381117023284,0.018705764448706495,10
8,97.73483753204346,1.4321827175323014,0.96995530128479,0.004788042342307979,10,balanced,entropy,sqrt,3000,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 3000}",-0.510127015184082,-0.530485856439703,-0.5264973181775283,-0.5121909220892019,-0.5642716019005293,-0.5287145427582088,0.0194467699795213,12
9,162.6707049369812,2.3935891107875182,1.6303556919097901,0.01317501051944535,10,balanced,entropy,sqrt,5000,"{'pca__n_components': 10, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 5000}",-0.5104903705042306,-0.5289553012890167,-0.525672695022707,-0.5123611943826214,-0.5629598050892877,-0.5280878732575728,0.01886604186659937,9
10,3.375600719451904,0.051396803269978426,0.036639833450317384,0.00039375255584131214,15,balanced,entropy,sqrt,100,"{'pca__n_components': 15, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",-0.5109438906372012,-0.5241294238291866,-0.5301842283785683,-0.5192103581299804,-0.5706140158924302,-0.5310163833734733,0.020776825510670425,14
11,16.510081720352172,0.24250980515520829,0.16668086051940917,0.0014278293929401548,15,balanced,entropy,sqrt,500,"{'pca__n_components': 15, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 500}",-0.5069351688033485,-0.5228934709406061,-0.5232638459263046,-0.5117218501734087,-0.5618538026215913,-0.5253336276930518,0.019327417391415528,8
12,49.36762256622315,0.6644784015356765,0.48967547416687013,0.004752556684978636,15,balanced,entropy,sqrt,1500,"{'pca__n_components': 15, 'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 1500}",-0.5076640314860174,-0.5221193562484945,-0.5211522342784238,-0.5114883938578797,-0.5625729650385515,-0.5249993961818734,0.0195853537843667,7
