,DATE,RESULT,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,PRIOR_GAME_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Bookie Number,Home Team,Away Team,Home Odds Open,Home Odds Close,Away Odds Open,Away Odds Close,Home All Stars,Away All Stars,Home Median Age,Away Median Age,Away Win,Away Underdog,Underdog Win
0,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,14.0,Boston Celtics,Philadelphia 76ers,1.39,1.45,3.1,2.8,2.0,2.0,25.0,22.5,0,1,0
1,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,56.0,Boston Celtics,Philadelphia 76ers,1.51,1.47,2.52,2.75,2.0,2.0,25.0,22.5,0,1,0
2,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,417.0,Boston Celtics,Philadelphia 76ers,1.41,1.43,3.08,2.91,2.0,2.0,25.0,22.5,0,1,0
3,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,27.0,Boston Celtics,Philadelphia 76ers,1.41,1.48,3.05,2.7,2.0,2.0,25.0,22.5,0,1,0
4,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,3.0,Boston Celtics,Philadelphia 76ers,1.47,1.46,2.64,2.65,2.0,2.0,25.0,22.5,0,1,0
5,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,16.0,Boston Celtics,Philadelphia 76ers,1.47,1.47,2.75,2.75,2.0,2.0,25.0,22.5,0,1,0
6,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,32.0,Boston Celtics,Philadelphia 76ers,1.42,1.47,3.05,2.85,2.0,2.0,25.0,22.5,0,1,0
7,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,429.0,Boston Celtics,Philadelphia 76ers,1.40,1.47,3.1,2.8,2.0,2.0,25.0,22.5,0,1,0
8,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,24.0,Boston Celtics,Philadelphia 76ers,1.36,1.48,3.2,2.65,2.0,2.0,25.0,22.5,0,1,0
9,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,43.0,Boston Celtics,Philadelphia 76ers,1.36,1.45,3.2,2.75,2.0,2.0,25.0,22.5,0,1,0
10,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,76.0,Boston Celtics,Philadelphia 76ers,1.36,1.44,2.9,2.88,2.0,2.0,25.0,22.5,0,1,0
11,2018-10-16,Boston Celtics,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,26.0,Boston Celtics,Philadelphia 76ers,1.47,1.46,2.7,2.75,2.0,2.0,25.0,22.5,0,1,0
