DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2013-02-01,Dallas Mavericks,109,Phoenix Suns,99,False,Dallas Mavericks,0.34782608695652173,0.41304347826086957,0.6,0.4
2013-02-01,Portland Trail Blazers,77,Utah Jazz,86,True,Utah Jazz,0.5434782608695652,0.5111111111111111,0.6,0.6
2013-02-01,Los Angeles Lakers,111,Minnesota Timberwolves,100,False,Los Angeles Lakers,0.40476190476190477,0.43478260869565216,0.0,0.6
2013-02-02,Chicago Bulls,93,Atlanta Hawks,76,False,Chicago Bulls,0.5777777777777777,0.6086956521739131,0.8,0.6
2013-02-02,Oklahoma City Thunder,110,Cleveland Cavaliers,115,True,Cleveland Cavaliers,0.2765957446808511,0.7608695652173914,0.6,0.6
2013-02-02,Sacramento Kings,81,New York Knicks,120,True,New York Knicks,0.6590909090909091,0.3541666666666667,0.8,0.2
2013-02-02,Charlotte Hornets,95,Houston Rockets,109,True,Houston Rockets,0.5208333333333334,0.24444444444444444,0.6,0.2
2013-02-02,New Orleans Pelicans,86,Minnesota Timberwolves,115,True,Minnesota Timberwolves,0.3953488372093023,0.3191489361702128,0.0,0.2
2013-02-02,Orlando Magic,98,Milwaukee Bucks,107,True,Milwaukee Bucks,0.5333333333333333,0.30434782608695654,0.4,0.0
2013-02-02,Washington Wizards,86,San Antonio Spurs,96,True,San Antonio Spurs,0.7708333333333334,0.24444444444444444,1.0,0.4
2013-02-02,Utah Jazz,99,Portland Trail Blazers,105,True,Portland Trail Blazers,0.5,0.5531914893617021,0.6,0.6
2013-02-02,Phoenix Suns,93,Golden State Warriors,113,True,Golden State Warriors,0.6304347826086957,0.3404255319148936,0.6,0.4
2013-02-03,Los Angeles Clippers,104,Boston Celtics,106,True,Boston Celtics,0.5,0.7083333333333334,0.6,0.4
2013-02-03,Los Angeles Lakers,98,Detroit Pistons,97,False,Los Angeles Lakers,0.3829787234042553,0.44680851063829785,0.4,0.8
2013-02-03,Miami Heat,100,Toronto Raptors,85,False,Miami Heat,0.3617021276595745,0.6744186046511628,0.4,0.6
2013-02-04,Chicago Bulls,101,Indiana Pacers,111,True,Indiana Pacers,0.5957446808510638,0.6170212765957447,0.4,0.6
2013-02-04,Orlando Magic,61,Philadelphia 76ers,78,True,Philadelphia 76ers,0.43478260869565216,0.2978723404255319,0.6,0.0
2013-02-04,Los Angeles Clippers,90,Washington Wizards,98,True,Washington Wizards,0.2391304347826087,0.6938775510204082,0.2,0.4
2013-02-04,Charlotte Hornets,94,Miami Heat,99,True,Miami Heat,0.6818181818181818,0.2391304347826087,0.6,0.2
2013-02-04,Detroit Pistons,85,New York Knicks,99,True,New York Knicks,0.6666666666666666,0.375,0.8,0.4
2013-02-04,Portland Trail Blazers,100,Minnesota Timberwolves,98,False,Portland Trail Blazers,0.4090909090909091,0.5106382978723404,0.2,0.6
2013-02-04,Dallas Mavericks,91,Oklahoma City Thunder,112,True,Oklahoma City Thunder,0.7446808510638298,0.425531914893617,0.4,0.4
2013-02-04,Sacramento Kings,91,Utah Jazz,98,True,Utah Jazz,0.5416666666666666,0.3469387755102041,0.6,0.2
2013-02-05,Atlanta Hawks,103,Indiana Pacers,114,True,Indiana Pacers,0.6041666666666666,0.5652173913043478,0.6,0.6
2013-02-05,Los Angeles Lakers,92,Brooklyn Nets,83,False,Los Angeles Lakers,0.5957446808510638,0.4583333333333333,0.4,0.8
2013-02-05,Golden State Warriors,109,Houston Rockets,140,True,Houston Rockets,0.5306122448979592,0.6382978723404256,0.8,0.8
2013-02-05,Phoenix Suns,96,Memphis Grizzlies,90,False,Phoenix Suns,0.6521739130434783,0.3333333333333333,0.6,0.2
2013-02-05,Milwaukee Bucks,104,Denver Nuggets,112,True,Denver Nuggets,0.625,0.5434782608695652,1.0,0.6
