index,DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
937,2020-02-26,Los Angeles Clippers,102,Phoenix Suns,92,False,Los Angeles Clippers,0.41379310344827586,0.6666666666666666,0.6,0.4
938,2020-02-26,Boston Celtics,114,Utah Jazz,103,False,Boston Celtics,0.631578947368421,0.7017543859649122,0.4,0.6
939,2020-02-27,Sacramento Kings,108,Oklahoma City Thunder,112,True,Oklahoma City Thunder,0.6206896551724138,0.42105263157894735,0.8,0.6
940,2020-02-27,New York Knicks,106,Philadelphia 76ers,115,True,Philadelphia 76ers,0.6101694915254238,0.29310344827586204,0.6,0.0
941,2020-02-27,Portland Trail Blazers,100,Indiana Pacers,106,True,Indiana Pacers,0.5862068965517241,0.4406779661016949,0.6,0.2
942,2020-02-27,Los Angeles Lakers,116,Golden State Warriors,86,False,Los Angeles Lakers,0.20689655172413793,0.7857142857142857,0.0,1.0
943,2020-02-28,Minnesota Timberwolves,125,Orlando Magic,136,True,Orlando Magic,0.4482758620689655,0.2982456140350877,0.8,0.2
944,2020-02-28,Charlotte Hornets,99,Toronto Raptors,96,False,Charlotte Hornets,0.7241379310344828,0.3448275862068966,0.6,0.6
945,2020-02-28,Sacramento Kings,104,Memphis Grizzlies,101,False,Sacramento Kings,0.4827586206896552,0.41379310344827586,0.2,0.6
946,2020-02-28,Dallas Mavericks,118,Miami Heat,126,True,Miami Heat,0.6206896551724138,0.6101694915254238,0.2,0.8
947,2020-02-28,Oklahoma City Thunder,86,Milwaukee Bucks,133,True,Milwaukee Bucks,0.8620689655172413,0.6271186440677966,0.8,1.0
948,2020-02-28,Cleveland Cavaliers,104,New Orleans Pelicans,116,True,New Orleans Pelicans,0.43103448275862066,0.29310344827586204,0.6,0.8
949,2020-02-28,Detroit Pistons,113,Phoenix Suns,111,False,Detroit Pistons,0.4067796610169492,0.31666666666666665,0.6,0.0
950,2020-02-28,Washington Wizards,119,Utah Jazz,129,True,Utah Jazz,0.6206896551724138,0.3684210526315789,0.2,0.4
951,2020-02-28,Denver Nuggets,103,Los Angeles Clippers,132,True,Los Angeles Clippers,0.6724137931034483,0.6896551724137931,0.4,0.6
952,2020-02-28,Brooklyn Nets,118,Atlanta Hawks,141,True,Atlanta Hawks,0.2833333333333333,0.45614035087719296,0.4,0.4
953,2020-02-29,Brooklyn Nets,113,Miami Heat,116,True,Miami Heat,0.6271186440677966,0.4482758620689655,0.4,0.2
954,2020-02-29,Los Angeles Lakers,88,Memphis Grizzlies,105,True,Memphis Grizzlies,0.4745762711864407,0.7894736842105263,0.0,1.0
955,2020-02-29,Houston Rockets,111,Boston Celtics,110,False,Houston Rockets,0.7068965517241379,0.6551724137931034,0.8,1.0
956,2020-02-29,Orlando Magic,113,San Antonio Spurs,114,True,San Antonio Spurs,0.42105263157894735,0.4576271186440678,0.4,0.8
957,2020-02-29,Golden State Warriors,115,Phoenix Suns,99,False,Golden State Warriors,0.4,0.2033898305084746,0.4,0.0
958,2020-02-29,Indiana Pacers,113,Cleveland Cavaliers,104,False,Indiana Pacers,0.288135593220339,0.5932203389830508,0.6,0.8
959,2020-02-29,Chicago Bulls,115,New York Knicks,125,True,New York Knicks,0.288135593220339,0.3389830508474576,0.0,0.2
960,2020-02-29,Portland Trail Blazers,117,Atlanta Hawks,129,True,Atlanta Hawks,0.29508196721311475,0.43333333333333335,0.6,0.2
961,2020-03-01,Milwaukee Bucks,93,Charlotte Hornets,85,False,Milwaukee Bucks,0.3559322033898305,0.864406779661017,0.6,1.0
962,2020-03-01,Philadelphia 76ers,130,Los Angeles Clippers,136,True,Los Angeles Clippers,0.6779661016949152,0.6166666666666667,0.6,0.6
963,2020-03-01,Dallas Mavericks,111,Minnesota Timberwolves,91,False,Dallas Mavericks,0.29310344827586204,0.6,0.2,0.6
964,2020-03-01,Toronto Raptors,118,Denver Nuggets,133,True,Denver Nuggets,0.6779661016949152,0.711864406779661,0.4,0.4
965,2020-03-01,Detroit Pistons,100,Sacramento Kings,106,True,Sacramento Kings,0.423728813559322,0.32786885245901637,0.8,0.2
966,2020-03-01,Los Angeles Lakers,122,New Orleans Pelicans,114,False,Los Angeles Lakers,0.4406779661016949,0.7758620689655172,0.6,0.8
967,2020-03-01,Washington Wizards,124,Golden State Warriors,110,False,Washington Wizards,0.21666666666666667,0.3620689655172414,0.2,0.2
968,2020-03-02,Dallas Mavericks,107,Chicago Bulls,109,True,Chicago Bulls,0.3333333333333333,0.6065573770491803,0.2,0.6
969,2020-03-02,Utah Jazz,126,Cleveland Cavaliers,113,False,Utah Jazz,0.2833333333333333,0.6271186440677966,0.4,0.2
970,2020-03-02,Houston Rockets,123,New York Knicks,125,True,New York Knicks,0.3,0.6610169491525424,0.2,1.0
971,2020-03-02,Portland Trail Blazers,130,Orlando Magic,107,False,Portland Trail Blazers,0.45,0.4262295081967213,0.6,0.2
972,2020-03-02,Memphis Grizzlies,127,Atlanta Hawks,88,False,Memphis Grizzlies,0.3064516129032258,0.48333333333333334,0.6,0.2
973,2020-03-02,Milwaukee Bucks,89,Miami Heat,105,True,Miami Heat,0.6333333333333333,0.8666666666666667,0.6,1.0
974,2020-03-02,Indiana Pacers,116,San Antonio Spurs,111,False,Indiana Pacers,0.43103448275862066,0.6,0.6,0.8
975,2020-03-03,Philadelphia 76ers,107,Los Angeles Lakers,120,True,Los Angeles Lakers,0.7796610169491526,0.6065573770491803,0.8,0.4
976,2020-03-03,Brooklyn Nets,129,Boston Celtics,120,False,Brooklyn Nets,0.6949152542372882,0.4406779661016949,0.6,0.2
977,2020-03-03,Minnesota Timberwolves,139,New Orleans Pelicans,134,False,Minnesota Timberwolves,0.43333333333333335,0.288135593220339,0.6,0.2
978,2020-03-03,Los Angeles Clippers,109,Oklahoma City Thunder,94,False,Los Angeles Clippers,0.6166666666666667,0.6833333333333333,0.8,0.8
979,2020-03-03,Golden State Warriors,116,Denver Nuggets,100,False,Golden State Warriors,0.6833333333333333,0.21311475409836064,0.6,0.2
980,2020-03-03,Toronto Raptors,123,Phoenix Suns,114,False,Toronto Raptors,0.39344262295081966,0.7,0.4,0.4
981,2020-03-03,Washington Wizards,126,Sacramento Kings,133,True,Sacramento Kings,0.43333333333333335,0.3728813559322034,0.8,0.4
982,2020-03-03,San Antonio Spurs,104,Charlotte Hornets,103,False,San Antonio Spurs,0.35,0.423728813559322,0.4,0.4
983,2020-03-04,New Orleans Pelicans,123,Dallas Mavericks,127,True,Dallas Mavericks,0.5967741935483871,0.4262295081967213,0.6,0.4
984,2020-03-04,Chicago Bulls,108,Minnesota Timberwolves,115,True,Minnesota Timberwolves,0.3,0.3442622950819672,0.4,0.4
985,2020-03-04,Orlando Magic,113,Miami Heat,116,True,Miami Heat,0.639344262295082,0.4426229508196721,0.6,0.6
986,2020-03-04,Utah Jazz,112,New York Knicks,104,False,Utah Jazz,0.3114754098360656,0.6333333333333333,0.4,0.4
987,2020-03-04,Oklahoma City Thunder,114,Detroit Pistons,107,False,Oklahoma City Thunder,0.3225806451612903,0.6065573770491803,0.2,0.6
988,2020-03-04,Indiana Pacers,100,Milwaukee Bucks,119,True,Milwaukee Bucks,0.8524590163934426,0.6065573770491803,0.8,0.8
989,2020-03-04,Boston Celtics,112,Cleveland Cavaliers,106,False,Boston Celtics,0.2786885245901639,0.6833333333333333,0.4,0.4
990,2020-03-04,Memphis Grizzlies,118,Brooklyn Nets,79,False,Memphis Grizzlies,0.45,0.4918032786885246,0.2,0.4
991,2020-03-04,Washington Wizards,104,Portland Trail Blazers,125,True,Portland Trail Blazers,0.43548387096774194,0.36666666666666664,0.4,0.4
992,2020-03-05,Philadelphia 76ers,125,Sacramento Kings,108,False,Philadelphia 76ers,0.4426229508196721,0.5967741935483871,0.8,0.4
993,2020-03-05,Toronto Raptors,121,Golden State Warriors,113,False,Toronto Raptors,0.22580645161290322,0.7049180327868853,0.4,0.4
994,2020-03-05,Los Angeles Clippers,120,Houston Rockets,105,False,Los Angeles Clippers,0.65,0.6885245901639344,0.8,1.0
995,2020-03-05,Denver Nuggets,114,Charlotte Hornets,112,False,Denver Nuggets,0.3442622950819672,0.6721311475409836,0.4,0.6
996,2020-03-06,Memphis Grizzlies,96,Dallas Mavericks,121,True,Dallas Mavericks,0.6031746031746031,0.5,0.6,0.6
997,2020-03-06,Atlanta Hawks,112,Washington Wizards,118,True,Washington Wizards,0.36065573770491804,0.30158730158730157,0.4,0.4
998,2020-03-06,San Antonio Spurs,120,Brooklyn Nets,139,True,Brooklyn Nets,0.4426229508196721,0.43333333333333335,0.2,0.4
999,2020-03-06,Oklahoma City Thunder,126,New York Knicks,103,False,Oklahoma City Thunder,0.3064516129032258,0.6129032258064516,0.4,0.6
