TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Hilton Armstrong,26,6.3,-0.2
Atlanta Hawks,Mike Bibby,32,29.9,0.6
Atlanta Hawks,Jason Collins,32,12.1,-0.4
Atlanta Hawks,Jamal Crawford,30,30.2,0.6
Atlanta Hawks,Jordan Crawford,22,10.0,-0.5
Atlanta Hawks,Maurice Evans,32,17.8,-0.5
Atlanta Hawks,Kirk Hinrich,30,28.6,0.4
Atlanta Hawks,Al Horford,24,35.1,3.9
Atlanta Hawks,Joe Johnson,29,35.5,1.1
Atlanta Hawks,Zaza Pachulia,26,15.7,-0.2
Atlanta Hawks,Josh Powell,28,12.1,-0.9
Atlanta Hawks,Josh Smith,25,34.4,3.2
Atlanta Hawks,Pape Sy,22,7.0,0.0
Atlanta Hawks,Jeff Teague,22,13.8,0.6
Atlanta Hawks,Etan Thomas,32,6.3,0.0
Atlanta Hawks,Damien Wilkins,31,13.0,0.2
Atlanta Hawks,Marvin Williams,24,28.7,0.6
New Jersey Nets,Jordan Farmar,24,24.6,0.7
New Jersey Nets,Derrick Favors,19,19.5,-0.5
New Jersey Nets,Dan Gadzuric,32,11.9,-0.6
New Jersey Nets,Sundiata Gaines,24,14.6,-0.1
New Jersey Nets,Stephen Graham,28,16.3,-1.2
New Jersey Nets,Orien Greene,28,1.7,0.0
New Jersey Nets,Devin Harris,27,31.9,1.5
New Jersey Nets,Kris Humphries,25,27.9,1.3
New Jersey Nets,Damion James,23,16.1,-0.1
New Jersey Nets,Brook Lopez,22,35.2,1.9
New Jersey Nets,Anthony Morrow,25,32.0,0.5
New Jersey Nets,Troy Murphy,30,16.0,-0.1
New Jersey Nets,Travis Outlaw,26,28.8,-0.9
New Jersey Nets,Johan Petro,25,11.6,-0.6
New Jersey Nets,Quinton Ross,29,9.8,-0.4
New Jersey Nets,Joe Smith,35,6.3,-0.1
New Jersey Nets,Ben Uzoh,22,10.4,0.2
New Jersey Nets,Mario West,26,19.3,-0.1
New Jersey Nets,Deron Williams,26,38.0,3.1
New Jersey Nets,Terrence Williams,23,20.6,-0.3
New Jersey Nets,Brandan Wright,23,11.5,0.1
Boston Celtics,Ray Allen,35,36.1,3.6
Boston Celtics,Carlos Arroyo,31,12.7,-0.1
Boston Celtics,Avery Bradley,20,5.2,-0.4
Boston Celtics,Marquis Daniels,30,19.1,0.6
Boston Celtics,Glen Davis,25,29.5,0.0
Boston Celtics,Semih Erden,24,14.4,-0.1
Boston Celtics,Kevin Garnett,34,31.3,3.8
Boston Celtics,Jeff Green,24,23.5,0.5
Boston Celtics,Luke Harangody,23,8.6,-0.3
Boston Celtics,Chris Johnson,25,8.0,-0.1
Boston Celtics,Nenad Krstić,27,23.0,-0.2
Boston Celtics,Jermaine O'Neal,32,18.0,-0.2
Boston Celtics,Shaquille O'Neal,38,20.3,0.4
Boston Celtics,Sasha Pavlović,27,8.8,-0.1
Boston Celtics,Kendrick Perkins,26,26.1,-0.2
Boston Celtics,Paul Pierce,33,34.7,4.6
Boston Celtics,Nate Robinson,26,17.9,-0.2
