TEAM,PLAYER,AGE,VORP
Dallas Mavericks,Dorian Finney-Smith,25,0.3
Dallas Mavericks,Devin Harris,35,-0.1
Dallas Mavericks,Justin Jackson,23,0.2
Dallas Mavericks,DeAndre Jordan,30,2.1
Dallas Mavericks,Maxi Kleber,27,0.9
Dallas Mavericks,Courtney Lee,33,-0.1
Dallas Mavericks,Daryl Macon,23,-0.1
Dallas Mavericks,Wesley Matthews,32,0.1
Dallas Mavericks,Salah Mejri,32,0.3
Dallas Mavericks,Dirk Nowitzki,40,-0.4
Dallas Mavericks,Dwight Powell,27,2.1
Dallas Mavericks,Ray Spalding,21,-0.1
Denver Nuggets,DeVaughn Akoon-Purcell,25,0.0
Denver Nuggets,Will Barton,28,0.0
Denver Nuggets,Malik Beasley,22,1.0
Denver Nuggets,Torrey Craig,28,0.0
Denver Nuggets,Brandon Goodwin,23,-0.1
Denver Nuggets,Gary Harris,24,0.2
Denver Nuggets,Juan Hernangómez,23,0.3
Denver Nuggets,Nikola Jokić,23,7.0
Denver Nuggets,Tyler Lydon,22,-0.1
Denver Nuggets,Trey Lyles,23,-0.1
Denver Nuggets,Paul Millsap,33,1.8
Denver Nuggets,Monte Morris,23,1.7
Denver Nuggets,Jamal Murray,21,1.6
Denver Nuggets,Mason Plumlee,28,1.8
Denver Nuggets,Isaiah Thomas,29,-0.2
Denver Nuggets,Jarred Vanderbilt,19,0.0
Denver Nuggets,Thomas Welsh,22,0.0
Denver Nuggets,Nick Young,33,0.0
Detroit Pistons,Bruce Brown,22,-0.5
Detroit Pistons,Reggie Bullock,27,0.4
Detroit Pistons,José Calderón,37,-0.3
Detroit Pistons,Andre Drummond,25,2.7
Detroit Pistons,Henry Ellenson,22,0.0
Detroit Pistons,Wayne Ellington,31,0.7
Detroit Pistons,Langston Galloway,27,0.2
Detroit Pistons,Blake Griffin,29,4.7
Detroit Pistons,Reggie Jackson,28,1.4
Detroit Pistons,Stanley Johnson,22,0.0
Detroit Pistons,Luke Kennard,22,0.3
Detroit Pistons,Jon Leuer,29,0.0
Detroit Pistons,Zach Lofton,26,0.0
Detroit Pistons,Kalin Lucas,29,0.0
Detroit Pistons,Thon Maker,21,0.2
Detroit Pistons,Sviatoslav Mykhailiuk,21,-0.3
Detroit Pistons,Zaza Pachulia,34,0.2
Detroit Pistons,Glenn Robinson III,25,-0.2
Detroit Pistons,Ish Smith,30,0.0
Detroit Pistons,Khyri Thomas,22,-0.2
Golden State Warriors,Jordan Bell,24,0.2
Golden State Warriors,Andrew Bogut,34,0.0
Golden State Warriors,Quinn Cook,25,0.0
Golden State Warriors,DeMarcus Cousins,28,1.0
Golden State Warriors,Stephen Curry,30,5.1
Golden State Warriors,Marcus Derrickson,22,0.0
Golden State Warriors,Kevin Durant,30,5.1
Golden State Warriors,Jacob Evans,21,-0.3
Golden State Warriors,Draymond Green,28,1.8
Golden State Warriors,Andre Iguodala,35,1.5
Golden State Warriors,Jonas Jerebko,31,0.4
Golden State Warriors,Damian Jones,23,0.3
Golden State Warriors,Damion Lee,26,0.0
Golden State Warriors,Shaun Livingston,33,0.2
Golden State Warriors,Kevon Looney,22,0.9
Golden State Warriors,Alfonzo McKinnie,26,-0.4
Golden State Warriors,Klay Thompson,28,1.2
Houston Rockets,Carmelo Anthony,34,-0.1
Houston Rockets,Clint Capela,24,2.8
Houston Rockets,Michael Carter-Williams,27,0.3
Houston Rockets,Chris Chiozza,23,0.0
Houston Rockets,Gary Clark,24,0.2
Houston Rockets,Vince Edwards,22,0.0
Houston Rockets,James Ennis,28,0.1
Houston Rockets,Eric Gordon,30,0.4
Houston Rockets,Gerald Green,33,0.1
Houston Rockets,James Harden,29,9.3
Houston Rockets,Isaiah Hartenstein,20,-0.1
Houston Rockets,Danuel House,25,0.4
Houston Rockets,Terrence Jones,27,0.0
Houston Rockets,James Nunnally,28,-0.1
Houston Rockets,Chris Paul,33,2.8
Houston Rockets,Zhou Qi,23,0.0
Houston Rockets,Austin Rivers,26,-1.1
Houston Rockets,Iman Shumpert,28,0.0
Houston Rockets,P.J. Tucker,33,1.0
Indiana Pacers,Ike Anigbogu,20,0.0
Indiana Pacers,Bojan Bogdanović,29,1.7
Indiana Pacers,Darren Collison,31,2.1
Indiana Pacers,Tyreke Evans,29,-0.2
Indiana Pacers,Aaron Holiday,22,0.1
Indiana Pacers,Alize Johnson,22,-0.1
Indiana Pacers,Cory Joseph,27,0.9
Indiana Pacers,T.J. Leaf,21,0.2
Indiana Pacers,Doug McDermott,27,0.2
Indiana Pacers,Kyle O'Quinn,28,0.2
Indiana Pacers,Victor Oladipo,26,1.4
Indiana Pacers,Davon Reed,23,0.0
Indiana Pacers,Domantas Sabonis,22,2.4
Indiana Pacers,Edmond Sumner,23,-0.2
Indiana Pacers,Myles Turner,22,2.4
Indiana Pacers,Thaddeus Young,30,2.2
Los Angeles Clippers,Patrick Beverley,30,1.5
Los Angeles Clippers,Avery Bradley,28,-0.8
Los Angeles Clippers,Wilson Chandler,31,-0.2
Los Angeles Clippers,Danilo Gallinari,24,3.3
Los Angeles Clippers,Shai Gilgeous-Alexander,20,0.8
Los Angeles Clippers,Marcin Gortat,34,0.1
Los Angeles Clippers,JaMychal Green,28,0.1
Los Angeles Clippers,Montrezl Harrell,25,2.9
Los Angeles Clippers,Tobias Harris,26,2.6
Los Angeles Clippers,Boban Marjanović,30,0.9
Los Angeles Clippers,Luc Mbah a Moute,32,0.0
Los Angeles Clippers,Johnathan Motley,23,0.0
Los Angeles Clippers,Jerome Robinson,21,-0.2
Los Angeles Clippers,Mike Scott,30,-0.2
Los Angeles Clippers,Landry Shamet,21,0.2
Los Angeles Clippers,Garrett Temple,32,-0.4
Los Angeles Clippers,Miloš Teodosić,31,-0.1
Los Angeles Clippers,Sindarius Thornwell,24,-0.2
Los Angeles Clippers,Tyrone Wallace,24,-0.7
Los Angeles Clippers,Lou Williams,32,2.1
Los Angeles Clippers,Ivica Zubac,21,0.4
Los Angeles Lakers,Lonzo Ball,21,0.6
Los Angeles Lakers,Michael Beasley,30,0.0
Los Angeles Lakers,Isaac Bonga,19,-0.1
Los Angeles Lakers,Kentavious Caldwell-Pope,25,0.8
Los Angeles Lakers,Alex Caruso,24,0.2
Los Angeles Lakers,Tyson Chandler,36,0.0
Los Angeles Lakers,Josh Hart,23,0.3
Los Angeles Lakers,Andre Ingram,33,-0.1
Los Angeles Lakers,Brandon Ingram,21,0.0
Los Angeles Lakers,LeBron James,34,4.9
Los Angeles Lakers,Jemerrio Jones,23,0.1
Los Angeles Lakers,Kyle Kuzma,23,0.4
Los Angeles Lakers,Scott Machado,28,0.0
Los Angeles Lakers,JaVale McGee,31,1.4
Los Angeles Lakers,Mike Muscala,27,0.3
Los Angeles Lakers,Rajon Rondo,32,0.2
Los Angeles Lakers,Lance Stephenson,28,0.1
Los Angeles Lakers,Moritz Wagner,21,-0.3
Los Angeles Lakers,Johnathan Williams,23,-0.1
Memphis Grizzlies,Kyle Anderson,25,0.9
Memphis Grizzlies,Dillon Brooks,23,-0.4
Memphis Grizzlies,MarShon Brooks,30,-0.1
Memphis Grizzlies,Bruno Caboclo,23,0.2
Memphis Grizzlies,Jevon Carter,23,-0.3
Memphis Grizzlies,Omri Casspi,30,0.3
Memphis Grizzlies,Mike Conley,31,3.9
Memphis Grizzlies,Marc Gasol,34,3.1
Memphis Grizzlies,Dusty Hannahs,25,-0.1
Memphis Grizzlies,C.J. Miles,31,-0.2
Memphis Grizzlies,Joakim Noah,33,0.7
Memphis Grizzlies,Chandler Parsons,30,-0.3
Memphis Grizzlies,Ivan Rabb,21,0.1
Memphis Grizzlies,D.J. Stephens,28,0.0
Memphis Grizzlies,Jonas Valančiūnas,26,1.3
Memphis Grizzlies,Julian Washburn,27,-0.2
Memphis Grizzlies,Yuta Watanabe,24,-0.3
Memphis Grizzlies,Delon Wright,26,1.5
Miami Heat,Bam Adebayo,21,1.8
Miami Heat,Ryan Anderson,30,-0.4
Miami Heat,Goran Dragić,32,0.2
Miami Heat,Udonis Haslem,38,-0.2
Miami Heat,James Johnson,31,0.2
Miami Heat,Tyler Johnson,26,0.6
Miami Heat,Yante Maten,22,0.0
Miami Heat,Rodney McGruder,27,-0.1
Miami Heat,Kelly Olynyk,27,1.2
Miami Heat,Josh Richardson,25,1.5
Miami Heat,Duncan Robinson,24,-0.1
Miami Heat,Emanuel Terry,22,0.0
Miami Heat,Dwyane Wade,37,1.2
Miami Heat,Dion Waiters,27,0.3
Miami Heat,Hassan Whiteside,29,1.8
Miami Heat,Justise Winslow,22,0.7
Milwaukee Bucks,Giannis Antetokounmpo,24,7.4
Milwaukee Bucks,Eric Bledsoe,29,2.9
Milwaukee Bucks,Malcolm Brogdon,26,1.9
Milwaukee Bucks,Sterling Brown,23,0.1
Milwaukee Bucks,Isaiah Canaan,27,-0.3
Milwaukee Bucks,Bonzie Colson,23,0.0
Milwaukee Bucks,Pat Connaughton,26,1.0
Milwaukee Bucks,Donte DiVincenzo,22,0.0
Milwaukee Bucks,Trevon Duval,20,0.0
Milwaukee Bucks,Tim Frazier,28,0.1
Milwaukee Bucks,Pau Gasol,38,0.5
Milwaukee Bucks,John Henson,28,0.2
Milwaukee Bucks,Ersan İlyasova,31,-0.1
Milwaukee Bucks,Brook Lopez,30,2.4
Milwaukee Bucks,Khris Middleton,27,1.7
Milwaukee Bucks,Nikola Mirotić,27,1.1
Milwaukee Bucks,Jaylen Morris,23,0.0
Milwaukee Bucks,Jason Smith,32,-0.1
Milwaukee Bucks,Tony Snell,27,0.4
Milwaukee Bucks,D.J. Wilson,22,0.0
Milwaukee Bucks,Christian Wood,23,0.1
Minnesota Timberwolves,Keita Bates-Diop,23,-0.2
Minnesota Timberwolves,Jerryd Bayless,30,-0.4
Minnesota Timberwolves,Jimmy Butler,29,3.2
Minnesota Timberwolves,Robert Covington,28,1.1
Minnesota Timberwolves,Luol Deng,33,0.2
Minnesota Timberwolves,Gorgui Dieng,29,0.7
Minnesota Timberwolves,Taj Gibson,33,0.8
Minnesota Timberwolves,Tyus Jones,22,0.6
Minnesota Timberwolves,Josh Okogie,20,-0.5
Minnesota Timberwolves,Cameron Reynolds,23,0.0
Minnesota Timberwolves,Derrick Rose,30,1.2
Minnesota Timberwolves,Dario Šarić,24,0.2
Minnesota Timberwolves,Jeff Teague,30,0.5
Minnesota Timberwolves,Jared Terrell,23,-0.2
Minnesota Timberwolves,Anthony Tolliver,33,-0.1
Minnesota Timberwolves,Karl-Anthony Towns,23,5.1
Minnesota Timberwolves,Andrew Wiggins,23,-0.6
Minnesota Timberwolves,C.J. Williams,28,-0.1
New Orleans Pelicans,Ian Clark,27,-0.8
New Orleans Pelicans,Anthony Davis,25,5.3
New Orleans Pelicans,Cheick Diallo,22,0.2
New Orleans Pelicans,Solomon Hill,27,-0.3
New Orleans Pelicans,Jrue Holiday,28,3.1
New Orleans Pelicans,Frank Jackson,20,-0.8
New Orleans Pelicans,Wesley Johnson,31,-0.4
New Orleans Pelicans,Darius Miller,28,-0.4
New Orleans Pelicans,E'Twaun Moore,29,-0.1
