TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Kent Bazemore,27,26.9,0.5
Atlanta Hawks,DeAndre' Bembry,22,9.8,-0.1
Atlanta Hawks,Lamar Patterson,35,14.5,-0.1
Atlanta Hawks,Malcolm Delaney,27,17.1,-1.1
Atlanta Hawks,Mike Dunleavy,36,15.8,0.1
Atlanta Hawks,Dwight Howard,31,29.7,1.9
Atlanta Hawks,Kris Humphries,31,12.3,0.0
Atlanta Hawks,Ersan İlyasova,29,24.3,1.1
Atlanta Hawks,Ryan Kelly,25,6.9,0.0
Atlanta Hawks,Kyle Korver,35,27.9,0.9
Atlanta Hawks,Paul Millsap,31,34.0,2.4
Atlanta Hawks,Mike Muscala,25,17.7,1.0
Atlanta Hawks,Gary Neal,32,9.0,-0.1
Atlanta Hawks,Dennis Schröder,23,31.5,1.3
Atlanta Hawks,Mike Scott,28,10.8,-0.2
Atlanta Hawks,Thabo Sefolosha,32,25.7,1.0
Atlanta Hawks,Edy Tavares,24,4.0,0.0
Atlanta Hawks,Taurean Prince,22,16.6,0.0
Brooklyn Nets,Quincy Acy,26,15.9,0.0
Brooklyn Nets,Anthony Bennett,23,11.5,0.0
Brooklyn Nets,Bojan Bogdanović,27,26.9,-0.1
Brooklyn Nets,Trevor Booker,29,24.7,0.6
Brooklyn Nets,Spencer Dinwiddie,23,22.6,0.4
Brooklyn Nets,Yogi Ferrell,23,15.1,0.3
Brooklyn Nets,Randy Foye,33,18.6,-0.8
Brooklyn Nets,Archie Goodwin,22,15.3,0.2
Brooklyn Nets,Justin Hamilton,26,18.4,0.4
Brooklyn Nets,Joe Harris,25,21.9,-0.4
Brooklyn Nets,Rondae Hollis-Jefferson,22,22.6,0.3
Brooklyn Nets,Sean Kilpatrick,27,25.1,-0.1
Brooklyn Nets,Caris LeVert,22,21.7,0.3
Brooklyn Nets,Jeremy Lin,28,24.5,0.9
Brooklyn Nets,Brook Lopez,28,29.6,2.4
Brooklyn Nets,Chris McCullough,21,5.1,0.0
Brooklyn Nets,K.J. McDaniels,23,14.7,0.0
Brooklyn Nets,Andrew Nicholson,27,11.1,-0.3
Brooklyn Nets,Luis Scola,36,12.8,-0.1
Brooklyn Nets,Greivis Vásquez,30,13.0,0.0
Brooklyn Nets,Isaiah Whitehead,21,22.5,-1.3
Boston Celtics,Avery Bradley,26,33.4,0.7
Boston Celtics,Jaylen Brown,20,17.2,-0.6
Boston Celtics,Jae Crowder,26,32.4,1.7
Boston Celtics,Gerald Green,31,11.4,-0.1
