TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Pero Antić,32,16.5,-0.6
Atlanta Hawks,Kent Bazemore,25,17.7,0.0
Atlanta Hawks,Elton Brand,35,13.5,-0.1
Atlanta Hawks,DeMarre Carroll,28,31.3,2.0
Atlanta Hawks,Austin Daye,26,9.5,-0.2
Atlanta Hawks,Al Horford,28,30.5,3.6
Atlanta Hawks,John Jenkins,23,12.4,0.2
Atlanta Hawks,Kyle Korver,33,32.2,3.0
Atlanta Hawks,Shelvin Mack,24,15.1,0.1
Atlanta Hawks,Paul Millsap,29,32.7,3.3
Atlanta Hawks,Mike Muscala,23,12.6,0.3
Atlanta Hawks,Adreian Payne,23,6.3,-0.9
Atlanta Hawks,Dennis Schröder,21,19.7,0.2
Atlanta Hawks,Mike Scott,26,16.5,0.4
Atlanta Hawks,Thabo Sefolosha,30,18.8,0.8
Atlanta Hawks,Jeff Teague,26,30.5,2.8
Brooklyn Nets,Alan Anderson,32,23.6,0.2
Brooklyn Nets,Bojan Bogdanović,25,23.8,0.1
Brooklyn Nets,Markel Brown,23,16.6,-0.1
Brooklyn Nets,Earl Clark,27,9.3,-0.1
Brooklyn Nets,Brandon Davies,23,6.3,-0.3
Brooklyn Nets,Kevin Garnett,38,20.3,0.7
Brooklyn Nets,Jorge Gutiérrez,26,4.4,-0.1
Brooklyn Nets,Jarrett Jack,31,28.0,0.5
Brooklyn Nets,Cory Jefferson,24,10.6,-0.1
Brooklyn Nets,Joe Johnson,33,34.9,1.3
Brooklyn Nets,Jerome Jordan,28,8.7,0.1
Brooklyn Nets,Sergey Karasev,21,16.8,0.0
Brooklyn Nets,Andrei Kirilenko,33,5.1,0.0
Brooklyn Nets,Brook Lopez,26,29.2,1.6
Brooklyn Nets,Darius Morris,24,7.9,-0.3
Brooklyn Nets,Mason Plumlee,24,21.3,0.9
Brooklyn Nets,Mirza Teletović,29,22.3,0.1
Brooklyn Nets,Deron Williams,30,31.1,1.2
Brooklyn Nets,Thaddeus Young,26,29.6,1.1
Boston Celtics,Brandon Bass,29,23.5,1.0
Boston Celtics,Avery Bradley,24,31.5,-0.1
Boston Celtics,Jae Crowder,24,24.2,1.0
Boston Celtics,Gigi Datome,27,10.7,0.2
Boston Celtics,Jeff Green,28,33.1,1.2
Boston Celtics,Jonas Jerebko,27,18.2,0.9
Boston Celtics,Jameer Nelson,32,20.2,0.4
Boston Celtics,Kelly Olynyk,23,22.2,0.8
Boston Celtics,Dwight Powell,23,1.8,0.1
Boston Celtics,Phil Pressey,23,12.0,0.1
Boston Celtics,Tayshaun Prince,34,22.0,0.5
Boston Celtics,Shavlik Randolph,31,5.0,-0.1
Boston Celtics,Rajon Rondo,28,31.8,0.6
Boston Celtics,Marcus Smart,20,27.0,0.7
Boston Celtics,Jared Sullinger,22,27.0,1.2
Boston Celtics,Isaiah Thomas,25,26.0,2.3
Boston Celtics,Marcus Thornton,27,16.4,0.6
Boston Celtics,Evan Turner,26,27.6,0.6
Boston Celtics,Gerald Wallace,32,8.9,-0.1
Boston Celtics,Brandan Wright,27,10.8,2.1
Boston Celtics,James Young,19,10.7,-0.1
Boston Celtics,Tyler Zeller,25,21.1,1.3
Charlotte Hornets,Bismack Biyombo,22,19.4,0.3
Charlotte Hornets,Troy Daniels,23,12.3,-0.1
Charlotte Hornets,P.J. Hairston,22,15.3,-0.1
Charlotte Hornets,Gerald Henderson,27,28.9,0.4
Charlotte Hornets,Al Jefferson,30,30.6,1.8
Charlotte Hornets,Michael Kidd-Gilchrist,21,28.9,0.6
Charlotte Hornets,Jason Maxiell,31,14.4,-0.3
Charlotte Hornets,Gary Neal,30,21.7,-0.5
Charlotte Hornets,Jannero Pargo,35,8.1,0.1
Charlotte Hornets,Brian Roberts,29,18.5,0.1
Charlotte Hornets,Lance Stephenson,24,25.8,-1.0
Charlotte Hornets,Jeff Taylor,25,14.8,-0.3
Charlotte Hornets,Noah Vonleh,19,10.4,-0.1
Charlotte Hornets,Kemba Walker,24,34.2,2.3
Charlotte Hornets,Marvin Williams,28,26.1,1.0
Charlotte Hornets,Mo Williams,32,30.8,0.6
Charlotte Hornets,Cody Zeller,22,24.0,0.5
Chicago Bulls,Cameron Bairstow,24,3.6,-0.1
Chicago Bulls,Aaron Brooks,30,23.0,0.5
Chicago Bulls,Jimmy Butler,25,38.7,4.2
Chicago Bulls,Mike Dunleavy,34,29.2,0.9
Chicago Bulls,Pau Gasol,34,34.4,3.7
Chicago Bulls,Taj Gibson,29,27.3,0.7
Chicago Bulls,Kirk Hinrich,34,24.4,-0.7
Chicago Bulls,Doug McDermott,23,8.9,-0.3
Chicago Bulls,Nikola Mirotić,23,20.2,1.8
Chicago Bulls,Nazr Mohammed,37,5.6,-0.1
Chicago Bulls,E'Twaun Moore,25,9.0,0.1
Chicago Bulls,Joakim Noah,29,30.6,2.1
Chicago Bulls,Derrick Rose,26,30.0,0.6
Chicago Bulls,Tony Snell,23,19.6,0.2
Cleveland Cavaliers,Lou Amundson,32,6.6,-0.5
Cleveland Cavaliers,Will Cherry,23,8.6,-0.1
Cleveland Cavaliers,Matthew Dellavedova,24,20.6,-0.3
Cleveland Cavaliers,Joe Harris,23,9.7,-0.4
Cleveland Cavaliers,Brendan Haywood,35,5.4,-0.1
Cleveland Cavaliers,Kyrie Irving,22,36.4,4.2
Cleveland Cavaliers,LeBron James,30,36.1,5.7
Cleveland Cavaliers,James Jones,34,11.7,0.2
Cleveland Cavaliers,Alex Kirk,23,2.8,0.0
Cleveland Cavaliers,Kevin Love,26,33.8,3.0
Cleveland Cavaliers,Shawn Marion,36,19.3,0.3
Cleveland Cavaliers,Mike Miller,34,13.5,-0.2
Cleveland Cavaliers,Timofey Mozgov,28,25.0,0.7
Cleveland Cavaliers,Kendrick Perkins,30,9.8,-1.0
Cleveland Cavaliers,A.J. Price,28,7.9,0.0
Cleveland Cavaliers,Iman Shumpert,24,24.2,0.4
Cleveland Cavaliers,J.R. Smith,29,31.8,1.5
Cleveland Cavaliers,Tristan Thompson,23,26.8,0.4
Cleveland Cavaliers,Anderson Varejão,32,24.5,0.4
Cleveland Cavaliers,Dion Waiters,23,23.8,-0.7
Dallas Mavericks,Al-Farouq Aminu,24,18.5,1.0
Dallas Mavericks,J.J. Barea,30,17.7,0.6
Dallas Mavericks,Tyson Chandler,32,30.5,2.7
Dallas Mavericks,Monta Ellis,29,33.7,1.3
Dallas Mavericks,Raymond Felton,30,9.7,0.0
Dallas Mavericks,Devin Harris,31,22.2,1.4
Dallas Mavericks,Bernard James,29,9.9,0.1
Dallas Mavericks,Richard Jefferson,34,16.8,0.4
Dallas Mavericks,Ricky Ledo,22,2.2,-0.4
Dallas Mavericks,Dirk Nowitzki,36,29.6,2.4
Dallas Mavericks,Chandler Parsons,26,33.1,2.0
Dallas Mavericks,Greg Smith,24,8.6,-0.1
Dallas Mavericks,Amar'e Stoudemire,32,16.5,0.7
Dallas Mavericks,Charlie Villanueva,30,10.6,0.6
Denver Nuggets,Arron Afflalo,29,33.0,-0.3
Denver Nuggets,Darrell Arthur,26,17.0,0.1
Denver Nuggets,Will Barton,24,24.4,0.4
Denver Nuggets,Wilson Chandler,27,31.7,0.9
Denver Nuggets,Ian Clark,23,4.4,0.0
Denver Nuggets,Kenneth Faried,25,27.8,1.0
Denver Nuggets,Randy Foye,31,21.7,0.2
Denver Nuggets,Jamaal Franklin,23,4.3,0.0
Denver Nuggets,Danilo Gallinari,26,24.2,1.6
Denver Nuggets,Alonzo Gee,27,13.1,0.2
Denver Nuggets,Erick Green,23,9.5,-0.2
Denver Nuggets,Gary Harris,20,13.1,-0.6
Denver Nuggets,J.J. Hickson,26,19.3,-0.2
Denver Nuggets,Joffrey Lauvergne,23,11.2,-0.2
Denver Nuggets,Ty Lawson,27,35.5,2.8
Denver Nuggets,JaVale McGee,27,11.5,-0.1
Denver Nuggets,Jusuf Nurkić,20,17.8,-0.2
Denver Nuggets,Nate Robinson,30,14.1,-0.1
Detroit Pistons,Joel Anthony,32,8.3,0.2
Detroit Pistons,D.J. Augustin,27,23.8,0.4
Detroit Pistons,Caron Butler,34,20.8,0.1
Detroit Pistons,Kentavious Caldwell-Pope,21,31.5,0.2
Detroit Pistons,Spencer Dinwiddie,21,13.4,-0.1
Detroit Pistons,Andre Drummond,21,30.5,1.2
Detroit Pistons,Reggie Jackson,24,32.2,1.8
Detroit Pistons,Brandon Jennings,25,28.6,1.6
Detroit Pistons,John Lucas III,32,13.0,0.0
Detroit Pistons,Cartier Martin,30,8.6,-0.3
