TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Luke Babbitt,28,15.4,-0.1
Atlanta Hawks,Kent Bazemore,28,27.5,1.2
Atlanta Hawks,Marco Belinelli,31,23.3,0.8
Atlanta Hawks,DeAndre' Bembry,23,17.5,-0.3
Atlanta Hawks,Nicolás Brussino,24,2.5,0.0
Atlanta Hawks,Tyler Cavanaugh,23,13.3,0.0
Atlanta Hawks,Antonius Cleveland,23,10.5,-0.1
Atlanta Hawks,John Collins,20,24.1,0.8
Atlanta Hawks,Dewayne Dedmon,28,24.9,0.8
Atlanta Hawks,Malcolm Delaney,28,18.8,-0.1
Atlanta Hawks,Tyler Dorsey,21,17.4,-0.2
Atlanta Hawks,Jeremy Evans,30,5.0,0.0
Atlanta Hawks,Ersan İlyasova,30,25.5,0.6
Atlanta Hawks,Damion Lee,25,26.9,0.0
Atlanta Hawks,Josh Magette,28,12.0,0.0
Atlanta Hawks,Jaylen Morris,22,16.3,-0.1
Atlanta Hawks,Mike Muscala,26,20.0,0.6
Atlanta Hawks,Miles Plumlee,29,16.7,-0.4
Atlanta Hawks,Dennis Schröder,24,31.0,0.7
Atlanta Hawks,Isaiah Taylor,23,17.4,-0.7
Atlanta Hawks,Taurean Prince,23,30.0,0.6
Atlanta Hawks,Andrew White,24,13.9,-0.2
Brooklyn Nets,Quincy Acy,27,19.4,-0.2
Brooklyn Nets,Jarrett Allen,19,20.0,0.5
Brooklyn Nets,Trevor Booker,30,21.9,0.4
Brooklyn Nets,DeMarre Carroll,31,29.9,1.2
Brooklyn Nets,Allen Crabbe,25,29.3,0.7
Brooklyn Nets,Dante Cunningham,30,20.3,0.1
Brooklyn Nets,Spencer Dinwiddie,24,28.8,1.5
Brooklyn Nets,Milton Doyle,24,12.5,-0.1
Brooklyn Nets,Joe Harris,26,25.3,1.0
Brooklyn Nets,Rondae Hollis-Jefferson,23,28.2,1.0
Brooklyn Nets,Sean Kilpatrick,28,11.4,-0.1
Brooklyn Nets,Caris LeVert,23,26.3,0.6
Brooklyn Nets,Jeremy Lin,29,25.0,0.0
Brooklyn Nets,Timofey Mozgov,31,11.6,-0.2
Brooklyn Nets,Jahlil Okafor,22,12.6,0.0
Brooklyn Nets,D'Angelo Russell,21,25.7,0.3
Brooklyn Nets,Nik Stauskas,24,13.7,-0.1
Brooklyn Nets,Rashad Vaughn,21,4.0,0.0
Brooklyn Nets,James Webb III,24,12.0,-0.2
Brooklyn Nets,Isaiah Whitehead,22,11.3,-0.1
Brooklyn Nets,Jacob Wiley,23,6.6,0.0
Brooklyn Nets,Tyler Zeller,28,16.7,0.2
Boston Celtics,Kadeem Allen,25,5.9,-0.2
Boston Celtics,Aron Baynes,31,18.3,-0.3
Boston Celtics,Jabari Bird,23,8.8,0.0
Boston Celtics,Jaylen Brown,21,30.7,0.8
Boston Celtics,Jarell Eddie,26,3.0,0.0
Boston Celtics,Jonathan Gibson,30,10.0,0.1
Boston Celtics,Gordon Hayward,27,5.0,0.0
Boston Celtics,Al Horford,31,31.6,3.7
Boston Celtics,Kyrie Irving,25,32.2,4.5
Boston Celtics,Shane Larkin,25,14.4,0.1
