TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,DeAndre' Bembry,25,21.3,-0.1
Atlanta Hawks,Charlie Brown,22,4.0,0.0
Atlanta Hawks,Vince Carter,43,14.6,-0.5
Atlanta Hawks,John Collins,22,33.2,1.7
Atlanta Hawks,Allen Crabbe,27,18.6,-0.5
Atlanta Hawks,Dewayne Dedmon,30,23.3,-0.7
Atlanta Hawks,Bruno Fernando,21,12.7,-0.4
Atlanta Hawks,Brandon Goodwin,24,12.6,-0.1
Atlanta Hawks,Treveon Graham,26,12.1,-0.8
Atlanta Hawks,Kevin Huerter,21,31.4,0.2
Atlanta Hawks,De'Andre Hunter,22,32.0,-1.4
Atlanta Hawks,Damian Jones,24,16.1,0.1
Atlanta Hawks,Alex Len,26,18.6,0.3
Atlanta Hawks,Jabari Parker,24,26.2,0.5
Atlanta Hawks,Chandler Parsons,31,10.8,-0.1
Atlanta Hawks,Cam Reddish,20,26.7,-0.9
Atlanta Hawks,Jeff Teague,31,20.8,0.2
Atlanta Hawks,Evan Turner,31,13.2,-0.2
Atlanta Hawks,Tyrone Wallace,25,11.4,-0.3
Atlanta Hawks,Paul Watson,25,8.5,0.0
Atlanta Hawks,Trae Young,21,35.3,3.1
Brooklyn Nets,Jarrett Allen,21,26.5,2.0
Brooklyn Nets,Justin Anderson,26,10.7,-0.2
Brooklyn Nets,Wilson Chandler,32,21.0,-0.1
Brooklyn Nets,Chris Chiozza,24,15.4,0.1
Brooklyn Nets,Nicolas Claxton,20,12.5,0.1
Brooklyn Nets,Jamal Crawford,39,6.0,0.0
Brooklyn Nets,Spencer Dinwiddie,26,31.2,1.9
Brooklyn Nets,Henry Ellenson,23,3.0,0.0
Brooklyn Nets,Donta Hall,22,17.0,-0.1
Brooklyn Nets,Joe Harris,28,30.8,1.0
Brooklyn Nets,Kyrie Irving,27,32.9,1.6
Brooklyn Nets,Tyler Johnson,27,24.3,-0.2
Brooklyn Nets,DeAndre Jordan,31,22.0,1.5
Brooklyn Nets,Rodions Kurucs,21,14.6,-0.1
Brooklyn Nets,Caris LeVert,25,29.6,0.5
Brooklyn Nets,Timothé Luwawu-Cabarrot,24,18.1,-0.1
Brooklyn Nets,Jeremiah Martin,23,11.0,0.1
Brooklyn Nets,Taurean Prince,20,12.2,-0.4
Brooklyn Nets,David Nwaba,27,13.4,0.2
Brooklyn Nets,Theo Pinson,24,11.1,-0.5
Brooklyn Nets,Iman Shumpert,29,18.5,-0.2
Brooklyn Nets,Garrett Temple,33,27.9,0.4
Brooklyn Nets,Lance Thomas,31,14.0,-0.2
Boston Celtics,Jaylen Brown,23,33.9,1.4
Boston Celtics,Carsen Edwards,21,9.5,-0.2
Boston Celtics,Tacko Fall,24,4.7,0.1
Boston Celtics,Javonte Green,26,9.8,0.2
Boston Celtics,Gordon Hayward,29,33.5,2.0
Boston Celtics,Enes Kanter,27,16.9,0.9
Boston Celtics,Romeo Langford,20,11.6,-0.3
Boston Celtics,Semi Ojeleye,25,14.7,0.1
Boston Celtics,Vincent Poirier,26,5.9,-0.1
Boston Celtics,Marcus Smart,25,32.0,1.6
Boston Celtics,Jayson Tatum,21,34.3,3.4
Boston Celtics,Daniel Theis,27,24.1,1.7
Boston Celtics,Kemba Walker,29,31.1,2.9
Boston Celtics,Brad Wanamaker,30,19.3,0.5
Boston Celtics,Tremont Waters,22,10.8,-0.2
Boston Celtics,Grant Williams,21,15.1,-0.2
Boston Celtics,Robert Williams,22,13.4,0.7
Charlotte Hornets,Dwayne Bacon,24,17.6,-0.8
Charlotte Hornets,Nicolas Batum,31,23.0,0.0
Charlotte Hornets,Bismack Biyombo,27,19.4,-0.1
Charlotte Hornets,Miles Bridges,21,30.7,-0.3
Charlotte Hornets,Joe Chealey,24,8.3,-0.1
Charlotte Hornets,Devonte' Graham,24,35.1,1.4
Charlotte Hornets,Michael Kidd-Gilchrist,26,13.3,-0.4
Charlotte Hornets,Caleb Martin,24,17.6,0.1
Charlotte Hornets,Cody Martin,24,18.8,0.0
Charlotte Hornets,Jalen McDaniels,22,18.3,-0.1
Charlotte Hornets,Malik Monk,21,21.3,-0.1
Charlotte Hornets,Terry Rozier,25,34.3,0.8
Charlotte Hornets,P.J. Washington,21,30.3,0.2
Charlotte Hornets,Marvin Williams,33,19.7,0.4
Charlotte Hornets,Cody Zeller,27,23.1,0.5
Charlotte Hornets,Willy Hernangómez,25,12.1,0.2
Chicago Bulls,Ryan Arcidiacono,25,16.0,-0.2
Chicago Bulls,Wendell Carter Jr.,20,29.2,-0.1
Chicago Bulls,Kris Dunn,25,24.9,0.4
Chicago Bulls,Cristiano Felício,27,17.5,-0.1
Chicago Bulls,Daniel Gafford,21,14.2,0.1
Chicago Bulls,Shaquille Harrison,26,11.3,0.6
Chicago Bulls,Chandler Hutchison,23,18.8,-0.1
Chicago Bulls,Luke Kornet,24,15.5,0.1
Chicago Bulls,Zach LaVine,24,34.8,2.4
Chicago Bulls,Lauri Markkanen,22,29.8,0.5
Chicago Bulls,Adam Mokoka,21,10.2,-0.1
Chicago Bulls,Otto Porter,26,23.6,0.3
Chicago Bulls,Tomáš Satoranský,28,28.9,0.3
Chicago Bulls,Max Strus,23,3.0,0.0
Chicago Bulls,Denzel Valentine,26,13.6,0.2
Chicago Bulls,Coby White,19,25.8,-0.4
Chicago Bulls,Thaddeus Young,31,24.9,0.3
Cleveland Cavaliers,Marques Bolden,21,3.0,0.0
Cleveland Cavaliers,Jordan Clarkson,27,23.0,1.3
Cleveland Cavaliers,Tyler Cook,22,3.2,0.0
Cleveland Cavaliers,Matthew Dellavedova,29,14.4,-0.7
