TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Devin Harris,29,24.5,0.8
Atlanta Hawks,Al Horford,26,37.2,2.7
Atlanta Hawks,John Jenkins,21,14.8,0.3
Atlanta Hawks,Ivan Johnson,28,15.0,0.1
Atlanta Hawks,Dahntay Jones,32,13.6,-0.9
Atlanta Hawks,Kyle Korver,31,30.5,2.2
Atlanta Hawks,Shelvin Mack,22,13.4,-0.1
Atlanta Hawks,Anthony Morrow,27,12.5,0.0
Atlanta Hawks,Zaza Pachulia,28,21.8,0.1
Atlanta Hawks,Jannero Pargo,33,16.1,-0.3
Atlanta Hawks,Johan Petro,27,11.4,-0.3
Atlanta Hawks,Mike Scott,24,9.4,-0.1
Atlanta Hawks,Josh Smith,27,35.3,2.5
Atlanta Hawks,DeShawn Stevenson,31,20.7,-0.1
Atlanta Hawks,Jeff Teague,24,32.9,1.5
Atlanta Hawks,Anthony Tolliver,27,15.5,-0.3
Atlanta Hawks,Jeremy Tyler,21,5.0,-0.1
Atlanta Hawks,Lou Williams,26,28.7,0.9
Brooklyn Nets,Andray Blatche,26,19.0,1.6
Brooklyn Nets,Keith Bogans,32,19.0,-0.2
Brooklyn Nets,MarShon Brooks,24,12.5,0.1
Brooklyn Nets,Josh Childress,29,7.1,0.0
Brooklyn Nets,Reggie Evans,32,24.6,0.1
Brooklyn Nets,Kris Humphries,27,18.3,-0.3
Brooklyn Nets,Damion James,25,0.0,0.0
Brooklyn Nets,Joe Johnson,31,36.7,1.3
Brooklyn Nets,Kris Joseph,24,7.5,-0.1
Brooklyn Nets,Brook Lopez,24,30.4,3.0
Brooklyn Nets,Tornike Shengelia,21,4.9,-0.1
Brooklyn Nets,Jerry Stackhouse,38,14.7,-0.2
Brooklyn Nets,Tyshawn Taylor,22,5.8,-0.3
Brooklyn Nets,Mirza Teletović,27,9.4,0.1
Brooklyn Nets,Gerald Wallace,30,30.1,1.3
Brooklyn Nets,C.J. Watson,28,19.0,1.1
