TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Mike Bibby,30,34.7,2.8
Atlanta Hawks,Speedy Claxton,30,7.5,0.0
Atlanta Hawks,Maurice Evans,30,23.0,0.6
Atlanta Hawks,Thomas Gardner,23,6.1,-0.2
Atlanta Hawks,Al Horford,22,33.5,2.1
Atlanta Hawks,Othello Hunter,22,5.8,0.0
Atlanta Hawks,Joe Johnson,27,39.5,3.1
Atlanta Hawks,Solomon Jones,24,10.7,-0.1
Atlanta Hawks,Acie Law,24,10.2,-0.1
Atlanta Hawks,Randolph Morris,23,3.9,-0.2
Atlanta Hawks,Ronald Murray,29,24.7,0.8
Atlanta Hawks,Zaza Pachulia,24,19.1,-0.2
Atlanta Hawks,Josh Smith,23,35.1,2.3
Atlanta Hawks,Mario West,24,5.1,0.1
Atlanta Hawks,Marvin Williams,22,34.3,1.5
New Jersey Nets,Maurice Ager,24,4.9,-0.2
New Jersey Nets,Ryan Anderson,20,19.9,0.3
New Jersey Nets,Josh Boone,24,16.0,0.1
New Jersey Nets,Vince Carter,32,36.8,3.3
New Jersey Nets,Keyon Dooling,28,26.9,0.7
New Jersey Nets,Chris Douglas-Roberts,22,13.3,-0.1
New Jersey Nets,Devin Harris,25,36.1,3.0
New Jersey Nets,Trenton Hassell,29,20.6,-0.4
New Jersey Nets,Jarvis Hayes,27,24.8,-0.1
New Jersey Nets,Yi Jianlian,21,23.3,-0.7
New Jersey Nets,Brook Lopez,20,30.5,0.9
New Jersey Nets,Bobby Simmons,28,24.4,0.8
New Jersey Nets,Stromile Swift,29,10.7,-0.4
New Jersey Nets,Sean Williams,22,11.1,-0.3
Boston Celtics,Ray Allen,33,36.4,4.3
Boston Celtics,Tony Allen,27,19.3,0.5
Boston Celtics,Glen Davis,23,21.5,0.0
Boston Celtics,Kevin Garnett,32,31.1,3.5
Boston Celtics,J.R. Giddens,23,1.3,0.0
Boston Celtics,Eddie House,30,18.3,2.0
Boston Celtics,Stephon Marbury,31,18.0,-0.4
Boston Celtics,Mikki Moore,33,19.0,-0.5
