TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Jason Collins,33,10.3,-0.3
Atlanta Hawks,Erick Dampier,36,5.5,-0.1
Atlanta Hawks,Willie Green,30,17.4,0.3
Atlanta Hawks,Kirk Hinrich,31,25.8,-0.1
Atlanta Hawks,Al Horford,25,31.6,0.5
Atlanta Hawks,Ivan Johnson,27,16.7,0.0
Atlanta Hawks,Joe Johnson,30,35.5,2.2
Atlanta Hawks,Tracy McGrady,32,16.1,0.5
Atlanta Hawks,Zaza Pachulia,27,28.3,0.5
Atlanta Hawks,Jannero Pargo,32,13.4,0.2
Atlanta Hawks,Vladimir Radmanović,31,15.4,0.4
Atlanta Hawks,Donald Sloan,24,4.0,-0.6
Atlanta Hawks,Josh Smith,26,35.3,3.3
Atlanta Hawks,Jerry Stackhouse,37,9.1,0.0
Atlanta Hawks,Jeff Teague,23,33.1,1.8
Atlanta Hawks,Marvin Williams,25,26.3,1.2
New Jersey Nets,Keith Bogans,31,18.8,-0.1
New Jersey Nets,MarShon Brooks,23,29.4,-0.2
New Jersey Nets,Andre Emmett,29,7.5,0.0
New Jersey Nets,Jordan Farmar,25,21.3,0.5
New Jersey Nets,Sundiata Gaines,25,13.9,0.5
New Jersey Nets,Gerald Green,26,25.2,0.4
New Jersey Nets,Dennis Horner,23,2.8,0.0
New Jersey Nets,Kris Humphries,26,34.9,0.6
New Jersey Nets,Damion James,24,24.3,-0.2
New Jersey Nets,Armon Johnson,22,14.9,0.0
New Jersey Nets,Brook Lopez,23,27.2,0.1
New Jersey Nets,Anthony Morrow,26,26.4,0.0
New Jersey Nets,Mehmet Okur,32,26.7,-0.3
New Jersey Nets,Larry Owens,29,10.7,0.0
New Jersey Nets,Johan Petro,26,15.6,-0.6
New Jersey Nets,Jerry Smith,24,9.2,0.0
New Jersey Nets,DeShawn Stevenson,30,18.8,-0.6
New Jersey Nets,Gerald Wallace,29,35.8,1.6
New Jersey Nets,Deron Williams,27,36.3,2.2
New Jersey Nets,Jordan Williams,21,14.8,0.0
New Jersey Nets,Shawne Williams,25,20.6,-0.6
New Jersey Nets,Shelden Williams,28,22.0,-0.4
Boston Celtics,Ray Allen,36,34.0,1.6
Boston Celtics,Brandon Bass,26,31.7,0.5
Boston Celtics,Avery Bradley,21,21.4,0.1
Boston Celtics,Marquis Daniels,31,12.7,-0.1
Boston Celtics,Keyon Dooling,31,14.4,-0.4
Boston Celtics,Kevin Garnett,35,31.1,2.9
Boston Celtics,Ryan Hollins,27,10.7,-0.6
Boston Celtics,JaJuan Johnson,22,8.3,-0.1
Boston Celtics,E'Twaun Moore,22,8.7,0.0
Boston Celtics,Jermaine O'Neal,33,22.8,-0.1
Boston Celtics,Sasha Pavlović,28,11.7,0.0
Boston Celtics,Paul Pierce,34,34.0,3.2
Boston Celtics,Mickaël Piétrus,29,21.9,0.0
Boston Celtics,Rajon Rondo,25,36.9,2.1
Boston Celtics,Greg Stiemsma,26,13.9,0.7
Boston Celtics,Chris Wilcox,29,17.2,0.0
Boston Celtics,Sean Williams,25,14.0,0.1
Charlotee Bobcats,D.J. Augustin,24,29.3,-0.2
Charlotee Bobcats,Bismack Biyombo,19,23.1,-1.0
Charlotee Bobcats,Derrick Brown,24,22.2,0.2
Charlotee Bobcats,Matt Carroll,31,11.2,-0.8
Charlotee Bobcats,Boris Diaw,29,27.5,0.1
Charlotee Bobcats,DeSagana Diop,30,12.0,-0.3
Charlotee Bobcats,Gerald Henderson,24,33.3,-0.3
Charlotee Bobcats,Cory Higgins,22,11.1,-0.9
Charlotee Bobcats,Corey Maggette,32,27.5,-0.4
Charlotee Bobcats,Jamario Moon,31,15.4,-0.2
Charlotee Bobcats,Byron Mullens,22,22.5,-1.0
Charlotee Bobcats,Eduardo Nájera,35,12.3,-0.1
Charlotee Bobcats,Tyrus Thomas,25,18.8,-1.0
Charlotee Bobcats,Kemba Walker,21,27.2,0.6
Charlotee Bobcats,D.J. White,25,18.9,-0.5
Charlotee Bobcats,Reggie Williams,25,22.6,-0.1
Chicago Bulls,Jimmy Butler,25,14.7,0.1
Chicago Bulls,Carlos Boozer,30,29.5,2.3
Chicago Bulls,Ronnie Brewer,26,24.8,1.1
Chicago Bulls,Luol Deng,26,39.4,2.0
Chicago Bulls,Taj Gibson,26,20.4,0.9
Chicago Bulls,Richard Hamilton,33,24.9,0.1
Chicago Bulls,Mike James,36,10.9,0.0
Chicago Bulls,Kyle Korver,30,22.6,1.6
Chicago Bulls,John Lucas III,29,14.8,0.9
Chicago Bulls,Joakim Noah,26,30.4,2.8
Chicago Bulls,Derrick Rose,23,35.3,2.9
Chicago Bulls,Brian Scalabrine,33,4.4,0.1
Chicago Bulls,C.J. Watson,27,23.7,0.5
Cleveland Cavaliers,Omri Casspi,23,20.6,-0.1
Cleveland Cavaliers,Semih Erden,25,11.9,-0.2
Cleveland Cavaliers,Christian Eyenga,22,13.8,-0.1
