TEAM,PLAYER,AGE,MP,VORP
Atlanta Hawks,Pero Antić,31,18.5,-0.1
Atlanta Hawks,Gustavo Ayón,28,16.5,0.1
Atlanta Hawks,Elton Brand,34,19.4,0.4
Atlanta Hawks,DeMarre Carroll,27,32.1,1.6
Atlanta Hawks,Jared Cunningham,22,4.4,0.0
Atlanta Hawks,Al Horford,27,33.0,1.2
Atlanta Hawks,John Jenkins,22,12.2,-0.2
Atlanta Hawks,Kyle Korver,32,33.9,1.9
Atlanta Hawks,Shelvin Mack,23,20.4,0.3
Atlanta Hawks,Cartier Martin,29,15.5,0.2
Atlanta Hawks,Paul Millsap,28,33.5,3.0
Atlanta Hawks,Mike Muscala,22,10.8,-0.2
Atlanta Hawks,James Nunnally,23,13.5,-0.1
Atlanta Hawks,Dexter Pittman,25,1.5,0.0
Atlanta Hawks,Dennis Schröder,20,13.1,-0.9
Atlanta Hawks,Mike Scott,25,18.5,0.1
Atlanta Hawks,Jeff Teague,25,32.2,1.2
Atlanta Hawks,Lou Williams,27,24.1,0.5
Brooklyn Nets,Alan Anderson,31,22.7,-0.4
Brooklyn Nets,Andray Blatche,27,22.2,0.8
Brooklyn Nets,Jason Collins,35,7.8,-0.2
Brooklyn Nets,Reggie Evans,33,13.3,-0.3
Brooklyn Nets,Kevin Garnett,37,20.5,0.2
Brooklyn Nets,Jorge Gutiérrez,25,16.3,-0.2
Brooklyn Nets,Joe Johnson,32,32.6,1.4
Brooklyn Nets,Andrei Kirilenko,32,19.0,0.4
Brooklyn Nets,Shaun Livingston,28,26.0,1.2
Brooklyn Nets,Brook Lopez,25,31.4,0.8
Brooklyn Nets,Paul Pierce,36,28.0,1.9
Brooklyn Nets,Mason Plumlee,23,18.2,1.0
Brooklyn Nets,Tornike Shengelia,22,8.1,-0.2
Brooklyn Nets,Tyshawn Taylor,23,11.7,-0.5
Brooklyn Nets,Marquis Teague,20,9.6,-0.6
Brooklyn Nets,Mirza Teletović,28,19.4,0.6
Brooklyn Nets,Jason Terry,36,16.3,-0.2
Brooklyn Nets,Marcus Thornton,26,23.8,0.2
Brooklyn Nets,Deron Williams,29,32.2,1.7
Boston Celtics,Joel Anthony,31,7.1,-0.1
Boston Celtics,Chris Babb,23,9.4,-0.1
Boston Celtics,Brandon Bass,28,27.6,0.5
Boston Celtics,Jerryd Bayless,25,25.3,0.1
Boston Celtics,Vander Blue,21,5.0,0.0
Boston Celtics,Keith Bogans,33,9.2,0.0
Boston Celtics,Avery Bradley,23,30.9,0.1
Boston Celtics,MarShon Brooks,25,7.3,0.1
Boston Celtics,Jordan Crawford,25,30.7,0.6
Boston Celtics,Jeff Green,27,34.2,0.3
Boston Celtics,Kris Humphries,28,19.9,1.0
Boston Celtics,Chris Johnson,23,19.7,0.2
Boston Celtics,Courtney Lee,28,16.8,1.5
Boston Celtics,Kelly Olynyk,22,20.0,0.3
Boston Celtics,Phil Pressey,22,15.1,-0.4
Boston Celtics,Rajon Rondo,27,33.3,0.5
Boston Celtics,Jared Sullinger,21,27.6,0.3
Boston Celtics,Gerald Wallace,31,24.4,0.4
Charlotee Bobcats,Jeff Adrien,27,10.2,0.3
Charlotee Bobcats,Bismack Biyombo,21,13.9,0.2
Charlotee Bobcats,Chris Douglas-Roberts,27,20.7,0.4
Charlotee Bobcats,Ben Gordon,30,14.7,-0.3
Charlotee Bobcats,Justin Hamilton,23,4.0,0.0
Charlotee Bobcats,Gerald Henderson,26,32.0,0.3
Charlotee Bobcats,Al Jefferson,29,35.0,3.0
Charlotee Bobcats,Michael Kidd-Gilchrist,20,24.2,0.0
Charlotee Bobcats,Josh McRoberts,26,30.3,2.3
Charlotee Bobcats,Gary Neal,29,23.0,-0.3
Charlotee Bobcats,Jannero Pargo,34,8.3,0.3
