unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Diff,Away Odds Diff,Home Odds Close,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FGA,Home FG%,Home 3P,Home 3PA,Home 3P%,Home FT,Home FTA,Home FT%,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FGA,Away FG%,Away 3P,Away 3PA,Away 3P%,Away FT,Away FTA,Away FT%,Away ORB,Away DRB,Away TRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2009-10-27_Cleveland Cavaliers_Boston Celtics,2009-10-27,Cleveland Cavaliers,Boston Celtics,0.0,0.0,0.7142857142857143,0.857142857142857,0.015250000000000208,-0.09324999999999983,1.494,2.5980000000000003,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-27_Dallas Mavericks_Washington Wizards,2009-10-27,Dallas Mavericks,Washington Wizards,0.0,0.0,0.857142857142857,0.7142857142857143,0.023666666666666503,-0.21699999999999964,1.242,4.033,3.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-27_Los Angeles Lakers_Los Angeles Clippers,2009-10-27,Los Angeles Lakers,Los Angeles Clippers,0.0,0.0,0.857142857142857,1.0,-0.027555555555555777,0.5624444444444414,1.1079999999999999,6.667999999999998,3.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-27_Portland Trail Blazers_Houston Rockets,2009-10-27,Portland Trail Blazers,Houston Rockets,0.0,0.0,0.8571428571428571,1.0,-0.007500000000000062,-0.11416666666666764,1.1833333333333331,4.730833333333334,-3.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-28_Atlanta Hawks_Indiana Pacers,2009-10-28,Atlanta Hawks,Indiana Pacers,0.0,0.0,1.0,0.7142857142857143,-0.367,0.238,1.243,3.993,-1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-28_Boston Celtics_Charlotte Hornets,2009-10-28,Boston Celtics,Charlotte Hornets,0.0,0.0,1.0,0.857142857142857,0.01490909090909076,-0.8285714285714265,1.1309090909090906,5.800000000000002,-1.0,1.0,1.0,1.0,0.0,32.0,72.0,0.4440000000000001,9.0,19.0,0.4740000000000001,22.0,26.0,0.8459999999999999,6.0,32.0,38.0,20.0,9.0,8.0,14.0,27.0,95.0,0.569,0.5069999999999999,0.2640000000000001,0.3609999999999999,18.800000000000004,84.20000000000002,54.3,62.5,10.2,15.099999999999998,14.400000000000002,107.20000000000002,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,0.5
2009-10-28_Denver Nuggets_Utah Jazz,2009-10-28,Denver Nuggets,Utah Jazz,0.0,0.0,1.0,0.857142857142857,0.061111111111111116,-0.4035555555555561,1.4,2.922,2.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-28_Golden State Warriors_Houston Rockets,2009-10-28,Golden State Warriors,Houston Rockets,0.0,0.0,0.8571428571428571,1.0,0.06256410256410261,-0.40916666666666623,1.3892307692307695,3.02,-1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,81.0,0.3700000000000001,5.0,18.0,0.278,22.0,29.0,0.7590000000000002,10.0,23.0,33.0,18.0,12.0,2.0,16.0,26.0,87.0,0.4640000000000001,0.4009999999999999,0.222,0.35800000000000004,20.4,65.70000000000002,39.3,60.0,12.400000000000004,3.600000000000001,14.599999999999996,90.1,99.4,0.5,0.0,0.5,0.0
2009-10-28_Miami Heat_New York Knicks,2009-10-28,Miami Heat,New York Knicks,0.0,0.0,1.0,0.857142857142857,0.06303030303030299,-0.32515151515151475,1.4463636363636363,2.7581818181818183,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
2009-10-28_Oklahoma City Thunder_Sacramento Kings,2009-10-28,Oklahoma City Thunder,Sacramento Kings,0.0,0.0,0.857142857142857,0.5714285714285713,0.02966666666666673,-0.28055555555555545,1.3230000000000002,3.3549999999999995,-1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5
